user_id,route_id,distance_km_user,elevation_meters_user,surface_type_user,average_pace_min_per_km,rating,start_date,distance_km_route,elevation_meters_route,surface_type_route,difficulty_score
brenda53,R031,10.04,204,Road,4.59,4,2025-03-17 11:50:45.909352,10.04,204,Road,4.04
brenda53,R090,7.37,116,Trail,4.76,2,2025-06-28 09:59:12.422036,7.37,116,Trail,2.64
brenda53,R014,29.98,72,Trail,4.76,1,2024-11-10 17:09:07.361752,29.98,72,Trail,6.72
brenda53,R014,29.98,72,Trail,4.38,1,2025-06-29 19:26:26.583131,29.98,72,Trail,6.72
brenda53,R049,1.0,124,Road,5.69,1,2025-05-10 23:31:57.937433,1.0,124,Road,1.37
brenda53,R035,11.65,67,Road,3.62,4,2025-05-04 17:13:21.336016,11.65,67,Road,3.0
brenda53,R096,17.2,62,Mixed,3.97,1,2024-11-07 01:43:01.332308,17.2,62,Mixed,4.06
brenda53,R057,17.76,205,Road,5.05,1,2025-04-03 23:43:22.385709,17.76,205,Road,5.6
brenda53,R013,6.28,220,Road,5.21,1,2025-08-27 21:19:50.330049,6.28,220,Road,3.45
brenda53,R083,18.99,0,Road,4.21,1,2025-09-08 05:14:01.141243,18.99,0,Road,3.48
brenda53,R055,16.18,67,Trail,4.41,1,2025-07-04 18:33:39.301084,16.18,67,Trail,3.91
brenda53,R030,9.8,107,Road,4.75,4,2025-01-22 12:40:36.560829,9.8,107,Road,3.03
brenda53,R007,15.62,82,Road,4.27,1,2025-01-27 19:13:12.859226,15.62,82,Road,3.94
brenda53,R069,8.51,58,Road,4.5,3,2025-09-22 13:46:40.469754,8.51,58,Road,2.28
brenda53,R087,24.2,158,Road,4.68,1,2025-09-30 15:40:40.557990,24.2,158,Road,6.42
brenda53,R088,14.69,97,Track,4.05,2,2025-07-15 15:03:29.540747,14.69,97,Track,3.91
brenda53,R085,7.16,126,Mixed,4.87,2,2025-05-31 11:33:28.977513,7.16,126,Mixed,2.69
brenda53,R043,5.11,182,Road,4.78,1,2025-02-09 12:46:06.258118,5.11,182,Road,2.84
brenda53,R040,8.04,97,Mixed,5.21,3,2025-06-27 23:04:54.658538,8.04,97,Mixed,2.58
brenda53,R053,8.94,128,Road,4.69,3,2025-01-29 15:18:04.330829,8.94,128,Road,3.07
brenda53,R045,5.3,84,Trail,4.48,1,2025-04-28 18:48:47.198379,5.3,84,Trail,1.9
brenda53,R003,13.8,216,Road,4.75,3,2024-10-06 02:09:48.215547,13.8,216,Road,4.92
brenda53,R046,5.37,206,Road,5.5,1,2025-07-04 03:09:47.135962,5.37,206,Road,3.13
brenda53,R081,6.69,121,Road,4.83,2,2025-04-16 18:10:08.758826,6.69,121,Road,2.55
brenda53,R096,17.2,62,Mixed,5.29,1,2025-04-21 04:03:39.197338,17.2,62,Mixed,4.06
brenda53,R049,1.0,124,Road,4.17,1,2025-04-24 02:07:29.480588,1.0,124,Road,1.37
brenda53,R039,1.0,47,Road,4.87,1,2025-09-01 07:13:02.142307,1.0,47,Road,-0.09
brenda53,R027,6.8,93,Mixed,3.78,2,2025-03-23 02:49:17.723089,6.8,93,Mixed,2.29
brenda53,R027,6.8,93,Mixed,4.31,2,2025-01-21 05:48:10.509699,6.8,93,Mixed,2.29
brenda53,R059,11.53,18,Trail,4.2,4,2025-03-08 15:54:33.155183,11.53,18,Trail,2.49
brenda53,R080,16.29,44,Road,4.91,1,2024-10-17 20:53:09.285363,16.29,44,Road,3.7
brenda53,R088,14.69,97,Track,3.96,2,2025-01-26 02:01:12.755326,14.69,97,Track,3.91
brenda53,R066,13.16,141,Road,4.46,3,2025-03-28 02:05:13.593752,13.16,141,Road,4.05
brenda53,R082,11.49,0,Trail,4.88,5,2024-12-17 12:10:13.737012,11.49,0,Trail,1.49
