user_id,route_id,distance_km_user,elevation_meters_user,surface_type_user,average_pace_min_per_km,rating,start_date,distance_km_route,elevation_meters_route,surface_type_route,difficulty_score,grade_percent,grade_flat,grade_rolling,grade_hilly,grade_steep,is_likely_loop,is_likely_out_back,traffic_stress,geo_cluster,hour_of_day,is_morning,is_afternoon,is_evening,is_night,day_of_week,is_weekend,is_weekday
hermandavid,R060,17.54,0,Road,4.5,2,2024-10-04 04:51:56.800088,17.54,0,Road,3.32,0.0,1,0,0,0,1,0,0.016181229773462782,0,4,0,0,0,1,4,0,1
xtaylor,R011,8.76,171,Road,4.78,5,2024-10-04 06:37:36.126634,8.76,171,Road,3.46,1.9520547945183195,1,0,0,0,1,0,0.030737704918032786,2,6,1,0,0,0,4,0,1
pvargas,R059,11.53,18,Trail,4.37,5,2024-10-04 08:04:58.995989,11.53,18,Trail,2.49,0.15611448395476485,1,0,0,0,1,0,0.023942537909018357,0,8,1,0,0,0,4,0,1
scott22,R017,17.65,115,Road,4.61,1,2024-10-05 00:46:12.229338,17.65,115,Road,4.68,0.6515580736540217,1,0,0,0,1,0,0.0160857908847185,3,0,0,0,0,1,5,1,0
danalopez,R012,13.62,121,Road,3.95,1,2024-10-05 01:35:18.891184,13.62,121,Road,3.94,0.8883994126278352,1,0,0,0,1,0,0.02051983584131327,2,1,0,0,0,1,5,1,0
davisheather,R025,26.19,249,Road,5.32,1,2024-10-05 15:57:19.105505,26.19,249,Road,7.73,0.9507445589916187,1,0,0,0,1,0,0.011033468186833394,9,15,0,1,0,0,5,1,0
chernandez,R003,13.8,216,Road,3.87,2,2024-10-05 20:08:52.482545,13.8,216,Road,4.92,1.5652173913032135,1,0,0,0,1,0,0.020270270270270268,4,20,0,0,1,0,5,1,0
shermananne,R001,12.94,229,Road,4.83,1,2024-10-05 20:12:40.532242,12.94,229,Road,4.87,1.769706336938354,1,0,0,0,1,0,0.02152080344332855,4,20,0,0,1,0,5,1,0
pamelacollins,R098,11.19,137,Trail,4.63,3,2024-10-05 23:57:49.286974,11.19,137,Trail,3.6,1.2243074173358137,1,0,0,0,1,0,0.02461033634126333,2,23,0,0,0,1,5,1,0
brenda53,R003,13.8,216,Road,4.75,3,2024-10-06 02:09:48.215547,13.8,216,Road,4.92,1.5652173913032135,1,0,0,0,1,0,0.020270270270270268,4,2,0,0,0,1,6,1,0
sabrina71,R022,15.08,98,Road,4.6,4,2024-10-06 21:11:39.705079,15.08,98,Road,4.0,0.6498673740048742,1,0,0,0,1,0,0.01865671641791045,2,21,0,0,1,0,6,1,0
brittany25,R085,7.16,126,Mixed,4.59,1,2024-10-07 09:58:53.781110,7.16,126,Mixed,2.69,1.7597765363103912,1,0,0,0,0,1,0.036764705882352935,1,9,1,0,0,0,0,0,1
alison99,R026,13.37,178,Track,5.0,3,2024-10-07 14:58:21.226397,13.37,178,Track,4.45,1.331338818248817,1,0,0,0,1,0,0.020876826722338204,3,14,0,1,0,0,0,0,1
donaldlee,R099,14.17,0,Road,4.38,3,2024-10-07 20:29:22.711186,14.17,0,Road,2.29,0.0,1,0,0,0,1,0,0.019775873434410018,0,20,0,0,1,0,0,0,1
pvargas,R064,17.69,231,Road,4.9,1,2024-10-08 02:54:07.047082,17.69,231,Road,5.85,1.305822498586034,1,0,0,0,1,0,0.016051364365971106,6,2,0,0,0,1,1,0,1
chernandez,R087,24.2,158,Road,4.88,1,2024-10-08 08:29:39.364487,24.2,158,Road,6.42,0.6528925619832012,1,0,0,0,1,0,0.011904761904761904,5,8,1,0,0,0,1,0,1
shermananne,R034,15.13,0,Road,4.54,3,2024-10-08 11:11:30.455035,15.13,0,Road,2.49,0.0,1,0,0,0,1,0,0.01859888406695598,0,11,1,0,0,0,1,0,1
sara71,R051,17.09,156,Road,4.72,3,2024-10-08 11:37:13.469576,17.09,156,Road,4.98,0.9128145114096473,1,0,0,0,1,0,0.016583747927031506,4,11,1,0,0,0,1,0,1
donaldlee,R074,11.06,224,Road,4.22,1,2024-10-08 15:10:15.304544,11.06,224,Road,4.45,2.0253164556943712,0,1,0,0,1,0,0.02487562189054726,3,15,0,1,0,0,1,0,1
treynolds,R039,1.0,47,Road,5.02,1,2024-10-08 17:35:03.609503,1.0,47,Road,-0.09,4.699999999953,0,1,0,0,0,1,0.15,0,17,0,0,1,0,1,0,1
jenniferlarsen,R060,17.54,0,Road,5.22,5,2024-10-08 23:14:14.813573,17.54,0,Road,3.32,0.0,1,0,0,0,1,0,0.016181229773462782,0,23,0,0,0,1,1,0,1
pedro57,R100,7.02,0,Trail,4.36,5,2024-10-08 23:41:15.355367,7.02,0,Trail,0.84,0.0,1,0,0,0,0,1,0.03740648379052369,0,23,0,0,0,1,1,0,1
ewhitehead,R090,7.37,116,Trail,4.66,1,2024-10-09 10:26:06.145008,7.37,116,Trail,2.64,1.573948439617946,1,0,0,0,0,1,0.03584229390681003,1,10,1,0,0,0,2,0,1
jenkinsdanielle,R044,6.81,59,Road,3.91,1,2024-10-09 17:00:43.477011,6.81,59,Road,1.96,0.8663729809091537,1,0,0,0,0,1,0.03841229193341869,0,17,0,0,1,0,2,0,1
pleon,R058,14.42,38,Trail,4.12,1,2024-10-09 21:04:55.487159,14.42,38,Trail,3.26,0.26352288488192543,1,0,0,0,1,0,0.019455252918287938,0,21,0,0,1,0,2,0,1
pedro57,R001,12.94,229,Road,4.96,1,2024-10-09 21:17:04.136705,12.94,229,Road,4.87,1.769706336938354,1,0,0,0,1,0,0.02152080344332855,4,21,0,0,1,0,2,0,1
xtaylor,R017,17.65,115,Road,4.78,1,2024-10-09 23:50:46.757259,17.65,115,Road,4.68,0.6515580736540217,1,0,0,0,1,0,0.0160857908847185,3,23,0,0,0,1,2,0,1
xtaylor,R028,19.33,205,Track,5.76,1,2024-10-10 00:35:03.819407,19.33,205,Track,5.92,1.060527677185173,1,0,0,0,1,0,0.014756517461878997,6,0,0,0,0,1,3,0,1
adamseric,R033,16.5,93,Trail,4.6,1,2024-10-10 12:53:07.483573,16.5,93,Trail,4.23,0.563636363636022,1,0,0,0,1,0,0.01714285714285714,2,12,0,1,0,0,3,0,1
davisheather,R049,1.0,124,Road,5.21,1,2024-10-10 17:26:05.561649,1.0,124,Road,1.37,12.399999999876,0,0,0,1,0,1,0.15,0,17,0,0,1,0,3,0,1
alison99,R091,9.73,23,Mixed,5.12,4,2024-10-10 19:26:16.271913,9.73,23,Mixed,2.18,0.236382322713015,1,0,0,0,1,0,0.027958993476234855,0,19,0,0,1,0,3,0,1
william19,R049,1.0,124,Road,4.24,1,2024-10-11 12:53:29.936274,1.0,124,Road,1.37,12.399999999876,0,0,0,1,0,1,0.15,0,12,0,1,0,0,4,0,1
pamelacollins,R001,12.94,229,Road,4.43,2,2024-10-11 22:23:46.439092,12.94,229,Road,4.87,1.769706336938354,1,0,0,0,1,0,0.02152080344332855,4,22,0,0,0,1,4,0,1
alison99,R081,6.69,121,Road,3.86,1,2024-10-12 06:26:20.167003,6.69,121,Road,2.55,1.808669656200585,1,0,0,0,0,1,0.03901170351105331,1,6,1,0,0,0,5,1,0
pleon,R025,26.19,249,Road,5.64,1,2024-10-12 16:34:47.382633,26.19,249,Road,7.73,0.9507445589916187,1,0,0,0,1,0,0.011033468186833394,9,16,0,1,0,0,5,1,0
ellen57,R042,13.7,139,Road,5.96,2,2024-10-12 18:54:23.013496,13.7,139,Road,4.13,1.0145985401452446,1,0,0,0,1,0,0.020408163265306124,2,18,0,0,1,0,5,1,0
scott22,R061,3.86,0,Road,5.26,3,2024-10-12 22:17:33.751783,3.86,0,Road,0.29,0.0,1,0,0,0,0,1,0.061728395061728406,0,22,0,0,0,1,5,1,0
danalopez,R027,6.8,93,Mixed,4.08,5,2024-10-13 01:51:54.954268,6.8,93,Mixed,2.29,1.3676470588215182,1,0,0,0,0,1,0.038461538461538464,0,1,0,0,0,1,6,1,0
